month,date,rank,candidate,designation,year_or_period,tradition,source_witnesses,source_tier,preliminary_status,ranking_rationale,review_flags,decision_status,final_primary,notes
January,01-05,2,John Neumann,Bishop,1860,Roman Catholic / Greater Church,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Usable,Pastoral and educational episcopal witness; lower priority than current LFF desert mothers.,Greater Church remembers; modern-American Catholic context,Pending,,
January,01-05,3,Telesphorus,Bishop of Rome and Martyr,2nd century,Roman Catholic / Greater Church,Oxford Dictionary of Saints,Great Church reference,Weak / defer,Early Roman episcopal/martyr tradition but thin in current source set.,source verification; Greater Church remembers,Pending,,
January,01-06,1,The Epiphany of Our Lord Jesus Christ,Principal Feast,,Anglican / Great Church,BCP; LFF; HWHM; GCW; FAS; SEC; AM,BCP / Current TEC / Broad Anglican,Strong candidate,Principal feast of Christ’s manifestation to the nations; uncontested primary candidate.,none,Pending,,
January,01-07,1,Lucian of Antioch,Priest and Martyr,312,Greater Church / Eastern,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church reference,Strong candidate,Ancient Antiochene priestly and martyrial witness on a thin Anglican day.,Greater Church remembers; theological-school complexity,Pending,,
January,01-07,2,Raymond of Peñafort,Dominican priest and canonist,1275,Roman Catholic / Greater Church,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Strong alternate,Dominican canonist and pastoral missionary witness; strong but lower hagiographical immediacy than Lucian.,Greater Church remembers; canon-law/intellectual framing,Pending,,
January,01-08,1,Harriet Bedell,Deaconess and Missionary,1969,Anglican,BCP bracketed; LFF; HWHM; GCW,Current TEC/LFF / BCP bracketed / TEC secondary,Strong candidate with review,Current LFF and Anglican deaconess/missionary witness; mission context needs careful framing.,modern review; mission/Indigenous context,Pending,,
January,01-08,2,Apollinaris of Hierapolis,Apologist and Bishop,c. 179,Greater Church / Eastern,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Usable,Early apologetic episcopal witness but lower source priority than current LFF Bedell.,Greater Church remembers; source verification,Pending,,
January,01-08,3,Lawrence Giustiniani,Bishop and spiritual writer,1455,Roman Catholic / Greater Church,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Usable,Austere pastoral bishop and spiritual writer; lower Anglican source priority.,Greater Church remembers,Pending,,
January,01-08,4,Richard Watson,Methodist theologian,1833,Methodist / Anglican-received,AM,Anglican martyrology,Review,Methodist theological witness requires Anglican-reception and holiness rationale.,Protestant/non-Anglican review; intellectual-significance caution,Pending,,
January,01-09,1,Julia Chester Emery,Lay Leader and Missionary,1922,Anglican,BCP; LFF; HWHM; GCW,BCP / Current TEC / TEC secondary,Strong candidate with review,Prayer Book/LFF Anglican lay missionary organizer; must be framed as sacrificial church service rather than institutional success.,modern review; institutional-founder framing,Pending,,
January,01-09,2,Adrian of Canterbury,Abbot and teacher,709/710,Anglican-received / early English Church,AM; Oxford Dictionary of Saints,Anglican martyrology / English calendar witness,Strong alternate,Teacher and abbot in Canterbury with deep formation of English Christian learning; strong Anglican-family alternate.,source verification,Pending,,
January,01-10,1,William Laud,Archbishop of Canterbury and Martyr,1645,Anglican,BCP; LFF; HWHM; GCW; FAS; SEC; AM,BCP / Current TEC / Broad Anglican,Strong candidate with review,Major Anglican archbishop on Prayer Book/LFF calendar; Anglican-bishop rule supports inclusion but political/Reformation conflict must be honest.,Anglican bishop rule; Reformation/conflict review,Pending,,
January,01-10,2,Gregory of Nyssa,Bishop and Theologian,c. 394,Anglican-received Great Church,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Strong alternate,Major Cappadocian theologian of theosis and spiritual ascent; strong Great Church alternate but date likely belongs elsewhere.,date harmonization with future fixed date; Greater Church remembers,Pending,,
January,01-10,3,Agatho,Bishop of Rome,681,Roman Catholic / Greater Church,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Usable,Anti-Monothelite Roman episcopal witness; lower priority than Laud or Gregory.,Greater Church remembers; papal context,Pending,,
January,01-11,1,Theodosius the Cenobiarch,Monastic,529,Eastern / Greater Church,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church reference,Strong candidate,Major organizer of Palestinian cenobitic monasticism and confessor against Monophysitism; strongest holiness fit on a thin day.,Greater Church remembers; source verification,Pending,,
January,01-11,2,David I of Scotland,King,1153,Anglican / Scottish,SEC transferred,Provincial Anglican transfer,Review,Scottish royal saint in SEC but 2026 observance is transferred to Jan 12; ruler-saint caution applies.,SEC transfer artifact; ruler-saint review; date verification,Pending,,
January,01-11,3,Paulinus of Aquileia,Bishop,802,Greater Church / Western,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Usable,Theologian bishop and opponent of coerced baptism; attractive holiness/justice witness.,Greater Church remembers; source verification,Pending,,
January,01-12,1,Aelred of Rievaulx,Monastic and Theologian,1167,Anglican-received / Cistercian,BCP; LFF; HWHM; GCW; AM,BCP / Current TEC / TEC secondary,Strong candidate,Broad Anglican reception; monastic charity friendship and spiritual theology fit the project’s theosis frame.,none,Pending,,Cross-sectional QC removed unverified SEC witness marker.
January,01-12,2,Benedict Biscop,Abbot,689,Anglican / Northumbrian,AM; Oxford Dictionary of Saints,Anglican martyrology / English calendar witness,Strong alternate,Northumbrian monastic founder and liturgical/book culture witness; strong Anglican-family alternate.,source verification,Pending,,
January,01-12,3,Marguerite Bourgeoys,Educator in New France,1700,Roman Catholic / Anglican-received,FAS; AM,Provincial Anglican / Anglican martyrology / Great Church,Usable,Educational and missionary religious witness in New France; lower priority than Aelred.,Greater Church remembers; colonial/New France context,Pending,,
January,01-12,4,John Horden,Bishop of Moosonee and Missionary,1893,Anglican / Canadian,FAS; AM; December matrix,Provincial Anglican / Anglican martyrology,Review / date harmonization,Anglican bishop and missionary but already appears in December matrix; hold for full-year placement.,Anglican bishop rule; date harmonization with Dec 15; mission/colonial context,Pending,,
January,01-13,1,Hilary of Poitiers,Bishop and Theologian,367,Anglican-received Great Church,BCP; LFF; HWHM; GCW; FAS; SEC date variant; AM,BCP / Current TEC / Broad Anglican,Strong candidate,Broad Anglican reception; Nicene theologian bishop and confessor.,date harmonization with SEC Jan 14 date variant,Pending,,SEC 2026 lists Hilary on Jan 14; current TEC/BCP and other sources retain Jan 13.
January,01-13,2,Kentigern / Mungo,Bishop,c. 603,Anglican / Scottish,SEC; AM; Oxford Dictionary of Saints,Provincial Anglican / Anglican martyrology / Scottish witness,Strong alternate,First bishop of Glasgow and major Scottish saint; strong regional Anglican alternate.,source verification,Pending,,Cross-sectional QC removed incorrect Jan 14 transfer/harmonization note.
January,01-13,3,Remy / Remigius of Rheims,Bishop,533,Greater Church / Western,AM; October matrix,Anglican martyrology / Great Church,Review / date harmonization,Important Frankish missionary bishop but Remigius already appears in October matrix.,date harmonization with October 1/2; ruler-conversion complexity,Pending,,
January,01-14,1,Richard Meux Benson and Charles Gore,Priest and Bishop,"1915, 1932",Anglican,LFF; HWHM/GCW date variant on Jan 16,Current TEC/LFF / TEC secondary date variant,Strong candidate,Current LFF paired Anglican religious-life and episcopal/theological witness; source-form now controls Jan 14.,group entry; Anglican bishop rule for Gore; date harmonization with Jan 16 older form,Pending,,
January,01-14,2,Sava of Serbia,Archbishop and monastic,1237,Eastern Orthodox / Greater Church,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Strong alternate,Major Serbian monastic and ecclesial founder; strong Orthodox/Great Church alternate.,Greater Church remembers; date/source verification,Pending,,
January,01-14,3,Macrina the Elder,Holy woman,4th century,Greater Church / Cappadocian,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Usable,Matriarchal teacher in the Cappadocian family; lower priority than current LFF source form.,Greater Church remembers; source verification,Pending,,
January,01-14,4,Felix of Nola,Priest and confessor,3rd century,Greater Church / Western,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Usable,Confessor under Decian persecution; lower priority.,Greater Church remembers,Pending,,
January,01-15,1,Ita of Killeedy,Monastic and teacher,c. 570,Anglican / Irish,AM; Oxford Dictionary of Saints,Anglican martyrology / Irish witness,Strong candidate,Irish monastic mother and teacher of saints; strongest hagiographical candidate on a blank LFF day.,source verification,Pending,,
January,01-15,2,Paul the Hermit,Monastic,c. 345,Greater Church / Egyptian,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Strong alternate,Egyptian eremitic witness but legendary material from Jerome requires care.,legendary material review; Greater Church remembers,Pending,,
January,01-15,3,Habakkuk and Micah,Prophets,,Biblical / Old Testament,AM,Anglican martyrology / biblical commemoration,Review,Biblical prophetic witnesses but require whole-year Old Testament strategy.,Old Testament strategy; group entry,Pending,,
January,01-16,1,Honoratus of Arles,Monastic and Bishop,429,Greater Church / Western monastic,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Strong candidate,Lérins co-founder and monastic bishop; strongest ancient holiness fit on a blank current-LFF day.,Greater Church remembers; source verification,Pending,,
January,01-16,2,Richard Meux Benson and Charles Gore,Religious and Bishop,"1915, 1932",Anglican,HWHM; GCW; LFF on Jan 14,TEC secondary / current LFF date variant,Review / date harmonization,Older TEC source form/date now controlled by current LFF Jan 14 placement.,date harmonization with Jan 14; group entry,Pending,,
January,01-16,3,Priscilla of Rome,Martyr,1st century?,Greater Church / Western,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Usable,Early Roman martyr/catacomb-associated witness but source identity needs verification.,source/identity verification; Greater Church remembers,Pending,,
January,01-17,1,Antony of Egypt,Monastic,356,Anglican-received Great Church,BCP; LFF; HWHM; GCW; FAS; SEC; AM,BCP / Current TEC / Broad Anglican,Strong candidate,Broad Anglican and Great Church reception; foundational desert monastic witness.,none,Pending,,
January,01-17,2,Sulpicius of Bourges,Bishop,647,Greater Church / Western,Oxford Dictionary of Saints,Great Church reference,Usable,Pastoral episcopal witness but lower priority than Antony.,Greater Church remembers; source verification,Pending,,
January,01-18,1,The Confession of Saint Peter the Apostle,Feast of an Apostle,,Apostolic / Anglican-received,BCP; LFF; HWHM; GCW; FAS; SEC transfer; AM,BCP / Current TEC / Broad Anglican,Strong candidate,Major apostolic confession feast with Prayer Book/LFF authority.,none,Pending,,SEC 2026 transfers to Jan 20 because Jan 18 is Sunday.
January,01-18,2,Prisca of Rome,Martyr,early centuries,Greater Church / Western,Oxford Dictionary of Saints,Great Church reference,Weak / defer,Traditional martyr but cannot displace apostolic feast.,defer under apostolic feast; source verification,Pending,,
January,01-19,1,Wulfstan of Worcester,Bishop,1095,Anglican / English,BCP; LFF; HWHM; GCW; AM,BCP / Current TEC / TEC secondary,Strong candidate,Prayer Book/LFF episcopal and monastic witness; Anglican-bishop rule supports inclusion.,Anglican bishop rule,Pending,,
January,01-19,2,Macarius the Great,Monastic,390,Greater Church / Egyptian,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Strong alternate,Major desert father and ascetical teacher; strong Great Church alternate.,Greater Church remembers; date harmonization with Jan 2 Macarius of Egypt,Pending,,Same identity question as Jan 2 Macarius of Egypt should be resolved in full-year harmonization.
January,01-19,3,Commemoration of Scottish Saints and Martyrs of the Reformation Period,Group commemoration,,Anglican / Scottish,SEC,Provincial Anglican,Review,Broad Scottish provincial group category; probably secondary apparatus unless specifically governed.,group entry; Reformation-era genre review,Pending,,
January,01-19,4,Interior Life of Our Saviour,Devotional observance,,Roman Catholic / Great Church,AM,Anglican martyrology / devotional observance,Review,Devotional Christological observance but not a sanctoral entry.,feast/genre review; Greater Church remembers,Pending,,
January,01-20,1,Fabian,Bishop and Martyr,250,Anglican-received Great Church,BCP; LFF; HWHM; GCW; AM,BCP / Current TEC / TEC secondary,Strong candidate,Prayer Book/LFF early Roman bishop and martyr; strong ancient episcopal/martyrial witness.,none,Pending,,
January,01-20,2,Sebastian,Martyr,c. 288,Greater Church / Western,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Strong alternate,Ancient martyr with broad cultus; legend/plague-patron material requires care.,legendary material review; Greater Church remembers,Pending,,
January,01-20,3,Richard Rolle,Hermit and mystic,1349,Anglican / English,AM; November/September matrix variants,Anglican martyrology / date variant,Review / date harmonization,English mystical witness but already controlled by English Mystics group/date variants.,date harmonization with Sep/Nov entries,Pending,,
January,01-20,4,The Confession of Saint Peter the Apostle,Transferred feast,,Apostolic / Anglican-received,SEC transfer,Provincial Anglican transfer,Review / date harmonization,SEC 2026 transfer from Jan 18; fixed date remains Jan 18.,SEC transfer artifact; defer under Fabian,Pending,,
January,01-21,1,Agnes and Cecilia of Rome,Martyrs,"304, c. 230",Anglican-received Great Church,LFF; BCP/HWHM/GCW for Agnes; AM for both; Oxford Dictionary of Saints,Current TEC/LFF / BCP date variant / Great Church,Strong candidate,Current LFF paired martyr source-form; ancient women martyrs with broad devotional reception.,group entry; Cecilia date harmonization with Nov 22/25,Pending,,
January,01-21,2,Agnes of Rome,Martyr,304,Anglican-received Great Church,BCP; HWHM; GCW; FAS; SEC; AM,BCP / TEC secondary / Broad Anglican,Strong alternate / source-form variant,Older/broader source form commemorates Agnes alone; retain separately from current LFF paired form.,source-form variant; legendary material review,Pending,,
January,01-21,3,Patroclus of Troyes,Martyr,259,Greater Church / Western,Oxford Dictionary of Saints,Great Church reference,Weak / defer,Ancient martyr but lower source support and priority.,source verification; Greater Church remembers,Pending,,
January,01-22,1,Vincent of Saragossa,Deacon and Martyr,304,Anglican-received Great Church,BCP; LFF; HWHM; GCW; FAS; AM,BCP / Current TEC / TEC secondary,Strong candidate,Prayer Book/LFF deacon-martyr witness; classic ancient martyrial candidate.,none,Pending,,
January,01-22,2,Anastasius the Persian,Monastic and martyr,628,Greater Church / Eastern,Oxford Dictionary of Saints,Great Church reference,Usable,Eastern monastic/martyrial witness but lower source priority than Vincent.,Greater Church remembers; source verification,Pending,,
January,01-23,1,Phillips Brooks,Bishop,1893,Anglican,BCP; LFF; HWHM; GCW,BCP / Current TEC / TEC secondary,Strong candidate with review,Prayer Book/LFF Anglican bishop and preacher; Anglican-bishop rule supports inclusion while public/preaching fame must be framed as pastoral holiness.,Anglican bishop rule; public-preacher framing,Pending,,
January,01-23,2,Ildephonsus of Toledo,Bishop,667,Greater Church / Western,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Strong alternate,Monastic bishop and Marian theologian; good Great Church alternate.,Greater Church remembers; Marian theology context,Pending,,
January,01-23,3,Mary Ward,Religious founder,1645,Roman Catholic / Anglican-context adjacent,AM,Anglican martyrology / Great Church,Review,Women’s religious-life founder whose struggle for a Jesuit-like community requires careful source and Roman-context review.,source verification; Greater Church remembers,Pending,,
January,01-24,1,Florence Li Tim-Oi,Priest,1992,Anglican,BCP; LFF; HWHM; GCW; AM,BCP / Current TEC / TEC secondary,Strong candidate with review,Prayer Book/LFF Anglican priest and first woman priest in the Anglican Communion; strong ecclesial vocation witness.,modern review; ordination/event framing,Pending,,
January,01-24,2,Francis de Sales,Bishop and spiritual writer,1622,Roman Catholic / Anglican-received,FAS; SEC; December LFF group,Provincial Anglican / date variant,Review / date harmonization,Major spiritual director and bishop but current LFF pairs him with Jane de Chantal on Dec 12.,date harmonization with Dec 12; Greater Church remembers,Pending,,
January,01-24,3,Cadoc,Abbot,577,Anglican / Welsh,AM; Oxford Dictionary of Saints,Anglican martyrology / Welsh witness,Strong alternate,Welsh monastic founder and teacher; strong Anglican-family alternate.,source verification; legendary material review,Pending,,
January,01-25,1,The Conversion of Saint Paul the Apostle,Feast of an Apostle,,Apostolic / Anglican-received,BCP; LFF; HWHM; GCW; FAS; SEC transfer; AM,BCP / Current TEC / Broad Anglican,Strong candidate,Major apostolic feast with Prayer Book/LFF authority.,none,Pending,,SEC 2026 transfers to Jan 26 because Jan 25 is Sunday.
January,01-25,2,Poppo of Stavelot,Abbot,1048,Greater Church / Western monastic,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Usable,Monastic reforming abbot but cannot displace apostolic feast.,defer under apostolic feast; Greater Church remembers,Pending,,
January,01-26,1,Timothy and Titus,Companions of Saint Paul / bishops,1st century,Apostolic / Anglican-received,BCP; LFF; FAS; SEC transfer; AM,BCP / Current TEC / Broad Anglican,Strong candidate,Current LFF/Prayer Book apostolic companions and Pauline co-workers.,source-form harmonization with Timothy-Titus-Silas older TEC form,Pending,,SEC 2026 transfers to Jan 29 because Jan 26 follows transferred Conversion of Paul.
January,01-26,2,"Timothy, Titus, and Silas",Companions of Saint Paul,1st century,Apostolic / Anglican-received,HWHM; GCW; AM,TEC secondary / Anglican martyrology,Review / source-form harmonization,Older/TEC secondary group includes Silas; retain separately from current LFF Timothy-and-Titus form.,group entry; source-form harmonization; date harmonization for Silas July 13/30,Pending,,
January,01-26,3,Paula of Rome,Monastic and scholar,404,Greater Church / Western,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Strong alternate,Roman ascetical scholar and founder at Bethlehem; strong women’s monastic/scholarly alternate.,Greater Church remembers; Jerome-context review,Pending,,
January,01-27,1,John Chrysostom,Bishop and Theologian,407,Anglican-received Great Church,BCP; LFF; FAS; SEC; AM; September HWHM/GCW date variant,BCP / Current TEC / Broad Anglican,Strong candidate,Broad Anglican and Great Church reception; current LFF date likely controls earlier September variant.,date harmonization with September 13,Pending,,
January,01-27,2,"Lydia, Dorcas, and Phoebe",Witnesses to the Faith,1st century,Biblical / Anglican-received,HWHM; GCW,TEC secondary,Strong alternate,TEC secondary biblical women group; current LFF places Phoebe on Sep 3 and Dorcas/Tabitha on Oct 25.,group entry; source-form/date harmonization with Phoebe Sep 3 and Tabitha Oct 25,Pending,,
January,01-27,3,George Matulaitis,Bishop,1927,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Review,Modern bishop and Marian renewal witness; lower priority than Chrysostom.,modern review; Greater Church remembers,Pending,,
January,01-28,1,Thomas Aquinas,Friar and Theologian,1274,Anglican-received Roman Catholic,BCP; LFF; HWHM; GCW; FAS; SEC; AM,BCP / Current TEC / Broad Anglican,Strong candidate,Broad Anglican reception; theological and contemplative witness of durable spiritual authority.,intellectual framing; Greater Church remembers,Pending,,
January,01-28,2,Agnes Tsao Kou Ying,Catechist and Martyr,1856,Roman Catholic / Greater Church,AM; February LFF group,Anglican martyrology / date variant,Review / date harmonization,Chinese martyrial witness but current LFF groups her on Feb 19; hold for full-year harmonization.,date harmonization with Feb 19; Greater Church remembers,Pending,,
January,01-29,1,Liliʻuokalani of Hawaiʻi,Queen,1917,Anglican / Hawaiian,LFF bracketed,Current TEC/LFF bracketed,Review,Current LFF bracketed entry; Christian queen and composer with Hawaiian sovereignty context requiring careful holiness-over-symbolism review.,bracketed LFF status; ruler-saint review; colonial/Hawaiian sovereignty context,Pending,,
January,01-29,2,Andrei Rublev,Monk and Iconographer,1430,Eastern Orthodox / Anglican-received,HWHM; GCW,TEC secondary,Strong alternate,Monastic iconographer whose art is directly doxological and theological; strong alternate if bracketed Liliʻuokalani is deferred.,artist/iconographer holiness test; Greater Church remembers,Pending,,
January,01-29,3,Gildas,Monastic and writer,c. 570,Anglican / British,AM; Oxford Dictionary of Saints,Anglican martyrology / British witness,Strong alternate,British monastic and prophetic writer; strong Anglican-family alternate.,source verification; hagiographic-honesty review,Pending,,
January,01-30,1,Charles I,King and Martyr,1649,Anglican / Scottish-English,FAS; SEC; AM,Provincial Anglican / Anglican martyrology,Review,Official Anglican provincial witness but royalist/Reformation politics require strict holiness and martyrdom review.,ruler-saint review; Reformation/political conflict; provincial not TEC,Pending,,
January,01-30,2,Bathild,Queen and monastic,680,Greater Church / Western,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Strong alternate,Ransomed slave who became queen/regent and later nun; mercy and anti-slavery witness may offer stronger holiness fit.,ruler-saint review; Greater Church remembers,Pending,,
January,01-30,3,Adelelmus of Burgos,Monastic,1097,Greater Church / Western,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Usable,Monastic and pilgrim-care witness; lower source priority.,Greater Church remembers; source verification,Pending,,
January,01-31,1,Marcella of Rome,Monastic and Scholar,410,Anglican-received Great Church,LFF; AM,Current TEC/LFF / Anglican martyrology,Strong candidate,Current LFF; Roman ascetical scholar and women’s monastic witness.,Jerome-context review; Greater Church remembers,Pending,,
January,01-31,2,John Bosco,Priest and educator,1888,Roman Catholic / Anglican-received,HWHM; GCW; AM; Oxford Dictionary of Saints,TEC secondary / Anglican martyrology / Great Church,Strong alternate,Educational and pastoral care for poor youth; strong Great Church alternate.,modern review; Greater Church remembers,Pending,,
January,01-31,3,Samuel Shoemaker,Priest and Evangelist,1963,Anglican,HWHM; GCW,TEC secondary,Review,Anglican priest/evangelist with recovery-movement connections; modern/ecclesial significance requires holiness framing.,modern review; evangelical/institutional framing,Pending,,
January,01-31,4,Charles Mackenzie of Central Africa,Bishop Missionary and Martyr,1862,Anglican / Scottish,SEC,Provincial Anglican,Strong alternate,Anglican missionary bishop and martyr in Central Africa; strong alternate but mission/colonial context must be honest.,Anglican bishop rule; mission/colonial context,Pending,,
