month,date,rank,candidate,designation,year_or_period,tradition,source_witnesses,source_tier,preliminary_status,ranking_rationale,review_flags,decision_status,final_primary,notes
August,08-11,2,John Henry Newman,Priest and theologian,1890,Anglican/Roman Catholic,AM,Anglican martyrology,Review,Deeply Anglican-relevant theologian but date/source and Roman reception require placement discipline.,date harmonization; Anglican/Roman complexity,Pending,,
August,08-11,3,Susanna of Rome,Martyr,4th century,Greater Church / Western,AM,Anglican martyrology / Great Church,Weak / defer,Traditional martyr but decisively outranked by Clare.,source verification,Pending,,
August,08-12,1,Florence Nightingale,Nurse,1910,Anglican-received,BCP; LFF; HWHM; GCW,BCP / Current TEC / TEC secondary,Strong candidate with review,BCP/LFF authority and vocation-of-care witness; must be framed around Christian vocation and mercy rather than reform alone.,social-reformer/vocation framing,Pending,,
August,08-12,2,Consecration of Charles Inglis,First Anglican Bishop in Canada,1787,Anglican,FAS,Provincial Anglican,Strong alternate,Official Canadian Anglican observance; episcopal and Anglican provincial significance but event-based.,ecclesial-event genre review,Pending,,
August,08-12,3,Blane,Missionary,c. 590,Anglican / Scottish,SEC; AM,Provincial Anglican / Anglican martyrology,Strong alternate,Scottish missionary witness; useful if Nightingale is judged too modern-professional for primary.,source/date verification,Pending,,
August,08-12,4,Ann Griffiths,Poet and hymn writer,1805,Welsh Methodist / Anglican-received,AM,Anglican martyrology,Review,Welsh devotional poetry and conversion witness; Protestant/non-Anglican status requires reception rationale.,Protestant-reformer/non-Anglican review,Pending,,
August,08-13,1,Jeremy Taylor,Bishop and Theologian,1667,Anglican,BCP; LFF; HWHM; GCW; FAS; SEC; AM,BCP / Current TEC / Broad Anglican,Strong candidate,Major Anglican bishop and spiritual theologian; automatic Anglican-bishop inclusion.,none,Pending,,
August,08-13,2,Maximus the Confessor,Monk and theologian,662,Eastern Orthodox / Greater Church,AM,Anglican martyrology / Great Church,Strong alternate,Great Church theological witness of the highest order; strong supplement but lower Anglican source priority than Taylor.,Greater Church remembers,Pending,,
August,08-13,3,Radegund,Queen and monastic founder,587,Greater Church / Western,AM,Anglican martyrology / Great Church,Usable,Strong monastic charity and cultural witness; lower priority than Taylor and Maximus.,Greater Church remembers,Pending,,
August,08-13,4,Pontian and Hippolytus,Martyrs,c. 236,Greater Church / Western,AM,Anglican martyrology / Great Church,Usable,Reconciled adversaries and martyrs; good Great Church option but not competitive with Taylor in Anglican hierarchy.,Greater Church remembers,Pending,,
August,08-14,1,Jonathan Myrick Daniels,Seminarian and Martyr,1965,Anglican,BCP; LFF; HWHM; GCW; AM,BCP / Current TEC / TEC secondary,Strong candidate with review,Current TEC/BCP witness and martyrial self-giving; modern civil-rights context requires holiness-over-significance framing.,modern review; civil-rights/social-impact framing,Pending,,
August,08-14,2,Maximilian Kolbe,Priest and Martyr,1941,Roman Catholic / Greater Church,FAS; SEC; AM,Provincial Anglican / Great Church,Strong alternate,Strong martyrial self-offering at Auschwitz; broad Anglican provincial attention but lower TEC control than Daniels.,Greater Church remembers; source grouping,Pending,,
August,08-14,3,Dietrich Bonhoeffer and Maximilien Kolbe,Martyrs,"1945, 1941",Anglican-received / Greater Church,FAS,Provincial Anglican,Review,Canadian paired commemoration is powerful but Bonhoeffer triggers Protestant/public-theologian review and Kolbe is already separate.,group entry; Protestant-reformer caution,Pending,,
August,08-14,4,Meinhard of Latvia,Missionary bishop,1196,Greater Church / Western,AM,Anglican martyrology / Great Church,Usable,Missionary bishop option but weaker than Daniels or Kolbe.,Greater Church remembers,Pending,,
August,08-15,1,Saint Mary the Virgin,Mother of Our Lord Jesus Christ,,Anglican-received Great Church,BCP; LFF; HWHM; GCW; FAS; SEC; AM,BCP / Current TEC / Broad Anglican,Strong candidate,Major Marian feast with overwhelming Anglican and Great Church reception.,none,Pending,,
August,08-15,2,Assumption/Dormition of the Blessed Virgin Mary,Marian feast,,Greater Church / Anglican-received,AM,Great Church / Anglican martyrology,Review,Important Great Church Marian framing; Anglican title in BCP/LFF is Saint Mary the Virgin so doctrinal terminology needs discipline.,Marian title/doctrine handling,Pending,,
August,08-15,3,Alypius of Tagaste,Bishop and friend of Augustine,430,Greater Church / Western,AM,Anglican martyrology / Great Church,Weak / defer,Good patristic figure but cannot displace Saint Mary.,defer under major feast,Pending,,
August,08-16,1,Holy Women of the Old Testament,Matriarchs and righteous women,,Biblical / Anglican-received,FAS,Provincial Anglican,Review,Formal Canadian Anglican observance and strong biblical holiness category but group entry needs definition.,group entry; scope definition,Pending,,
August,08-16,2,Charles Inglis,Bishop of Nova Scotia,1816,Anglican,AM; FAS on Aug 12,Anglican martyrology / Provincial Anglican,Strong alternate,Anglican bishop and first overseas British Empire bishop; AM places death commemoration here while FAS observes consecration Aug 12.,date harmonization; episcopal inclusion,Pending,,
August,08-16,3,Roger Schütz,Founder of Taizé,2005,Ecumenical / Protestant monastic,HWHM appendix; GCW appendix; AM,TEC/GCW appendix / Anglican martyrology,Review,Compelling ecumenical monastic witness but appendix status and recency require caution.,modern review; appendix status; Protestant monastic,Pending,,
August,08-16,4,Stephen of Hungary,King,1038,Greater Church / Western,AM,Anglican martyrology / Great Church,Review,Ruler-saint and Christianization witness; weaker fit than Anglican/biblical options.,ruler-saint review; Greater Church remembers,Pending,,
August,08-17,1,"Samuel Johnson, Timothy Cutler, and Thomas Bradbury Chandler",Priests,"1772, 1765, 1790",Anglican,HWHM; GCW,TEC secondary,Strong candidate,Anglican priests and advocates for Anglican orders liturgy and episcopacy in colonial America.,group entry,Pending,,
August,08-17,2,John Stuart,Priest and Missionary among the Mohawks,1811,Anglican / Canadian,FAS,Provincial Anglican,Strong alternate,Official Canadian Anglican missionary candidate; strong Indigenous/mission contact history but needs truthful handling.,mission/colonial context review,Pending,,
August,08-17,3,Clare of Montefalco,Abbess,1308,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Usable,Solid monastic witness but lower Anglican source priority.,Greater Church remembers,Pending,,
August,08-17,4,Joan of the Cross,Religious founder / worker of mercy,1736,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Usable,Charity-to-poor witness but lower source priority.,Greater Church remembers,Pending,,
August,08-18,1,William Porcher DuBose,Priest and theologian,1918,Anglican,BCP; HWHM; GCW,BCP / TEC secondary,Strong candidate,BCP Anglican priest/theologian; strong source authority despite absence from LFF 2024.,historical/racial-context review if needed,Pending,,
August,08-18,2,Artemisia Bowden,Educator,1969,Anglican-received,GCW,TEC secondary,Review,Important educational and church witness but lower source authority and requires holiness-over-impact rationale.,modern/social-impact caution,Pending,,
August,08-18,3,Helena,Mother of Constantine / protector of holy places,c. 330,Anglican-received Great Church,AM,Anglican martyrology / Great Church,Strong alternate,Strong Great Church and Anglican-received figure but her main LFF date is May 22.,date harmonization,Pending,,
August,08-18,4,Jane Frances de Chantal,Religious founder,1641,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Usable,Strong spiritual and monastic founder; lower source priority than DuBose.,Greater Church remembers,Pending,,
August,08-19,1,Mary Sumner,Founder of the Mothers’ Union,1921,Anglican,AM,Anglican martyrology,Strong candidate,Anglican lay holiness family formation and mothers’ vocation; best Anglican candidate on thin day.,source/date verification; institutional-founder framing,Pending,,
August,08-19,2,John Eudes,Priest and founder,1680,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Usable,Strong pastoral mission and Sacred Heart spirituality; good Catholic supplement.,Greater Church remembers,Pending,,
August,08-19,3,Blaise Pascal,Thinker and apologist,1662,Greater Church / Western,AM,Anglican martyrology / Great Church,Review,Major Christian intellectual and spiritual writer but needs holiness framing beyond genius/apologetics.,intellectual-significance caution,Pending,,
August,08-19,4,Louis of Anjou,Bishop / Franciscan,1297,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Usable,Franciscan episcopal renunciation but weaker fit than Sumner or Eudes.,Greater Church remembers,Pending,,
August,08-20,1,Bernard of Clairvaux,Abbot and Theologian,1153,Anglican-received Roman Catholic,BCP; LFF; HWHM; GCW; FAS; SEC; AM,BCP / Current TEC / Broad Anglican,Strong candidate,Broad Anglican reception; monastic mystical theological and reforming witness.,crusade/preaching complexity must be handled honestly,Pending,,
August,08-20,2,William and Catherine Booth,Founders of the Salvation Army,"1912, 1890",Protestant / Anglican-received,AM,Anglican martyrology,Review,Strong evangelical poverty/mission witness but non-Anglican and modern social mission framing require review.,Protestant/non-Anglican; social-impact caution,Pending,,
August,08-20,3,Bernard Tolomei,Monastic founder,1348,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Usable,Monastic founder and plague-care witness but lower priority than Bernard of Clairvaux.,Greater Church remembers,Pending,,
August,08-21,1,Tan Sri John Savarimuthu,Bishop of Western Malaysia,1994,Anglican,HWHM appendix; GCW appendix,TEC/GCW appendix,Review,Anglican bishop and Global South witness but appendix status and recency require caution.,modern review; appendix status; Anglican bishop rule applicability,Pending,,
August,08-21,2,Pius X,Bishop of Rome,1914,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Usable,Pastoral/liturgical reform witness but also anti-modernist complexity; good Catholic supplement if no Anglican candidate is retained.,Greater Church remembers; complexity review,Pending,,
August,08-21,3,Sidonius Apollinaris,Bishop,480,Greater Church / Western,AM,Anglican martyrology / Great Church,Usable,Late antique bishop and defender of his people; lower source priority.,Greater Church remembers,Pending,,
August,08-22,1,"Alicia “Cristina” Rivera, OSH",Monastic,1996,Anglican,GCW appendix,TEC/GCW appendix,Review,Anglican monastic candidate; appendix status and modernity require review but fits project’s monastic-holiness preference.,modern review; appendix status; source verification,Pending,,
August,08-22,2,Queenship of Mary,Marian feast,,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Review,Devotional Marian feast; must be handled carefully in an Anglican Synaxarium and may not suit primary daily slot.,Marian-title feast review; Greater Church remembers,Pending,,
August,08-22,3,Philip Benizi,Servite priest / peacemaker,1285,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Usable,Good peacemaking and humility witness; lower source priority.,Greater Church remembers,Pending,,
August,08-23,1,"Martin de Porres, Rosa de Lima, and Toribio de Mogrovejo",Witnesses to the Faith in South America,"1639, 1617, 1606",Anglican-received Roman Catholic,HWHM; GCW,TEC secondary,Strong candidate with review,TEC secondary source and strong South American holiness cluster; group framing needs care and individuals may warrant separate handling.,group entry; Greater Church remembers,Pending,,
August,08-23,2,Rose of Lima,Lay Dominican / mystic and worker of mercy,1617,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Strong alternate,Strong individual holiness candidate if group entry is rejected.,Greater Church remembers,Pending,,
August,08-23,3,Tydfil,Welsh martyr,5th century,Anglican / Welsh,AM,Anglican martyrology,Review,Potential Welsh martyr/local saint but AM itself notes legendary/speculative material.,legendary material review,Pending,,
August,08-24,1,Bartholomew the Apostle,Apostle,1st century,Apostolic / Anglican-received,BCP; LFF; HWHM; GCW; FAS; SEC; AM,BCP / Current TEC / Broad Anglican,Strong candidate,Uncontested apostolic feast with broad Anglican and Great Church reception.,none,Pending,,
August,08-24,2,Simone Weil,Mystic / threshold Christian,1943,Christian-adjacent / Anglican-received,AM,Anglican martyrology,Exclude from primary consideration,Spiritually profound but not baptized/fully ecclesial; not suitable as primary under current Christian-sanctoral rules.,ecclesial status; holiness test; non-sanctoral primary mismatch,Pending,,Revised from Review to Exclude from primary consideration during QC.
August,08-24,3,Audoenus of Rouen,Bishop,684,Greater Church / Western,AM,Anglican martyrology / Great Church,Weak / defer,Good bishop but cannot displace apostolic feast.,defer under apostle,Pending,,
August,08-25,1,Louis IX of France,King,1270,Anglican-received Roman Catholic,BCP; LFF; HWHM; GCW; AM,BCP / Current TEC / TEC secondary,Strong candidate with review,BCP/LFF authority and personal holiness tradition; crusading/ruler complexity requires honest handling.,ruler-saint review; crusade complexity,Pending,,
August,08-25,2,Ebba of Coldingham,Abbess,683,Anglican / Northumbrian-Scottish,SEC; AM,Provincial Anglican / Anglican martyrology,Strong alternate,Strong Anglican-family monastic woman and regional holiness candidate; may outrank Louis if ruler/crusade issues weigh heavily.,source verification,Pending,,
August,08-25,3,Genesius of Arles,Martyr,303,Greater Church / Western,AM,Anglican martyrology / Great Church,Usable,Martyrial refusal to assist persecution; good Great Church option.,Greater Church remembers,Pending,,
August,08-25,4,Joseph Calasanz,Priest / educator of poor children,1648,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Usable,Strong educational charity witness; lower source priority.,Greater Church remembers,Pending,,
August,08-26,1,Simeon Bachos the Ethiopian Eunuch,Biblical witness,1st century,Biblical / Ethiopian / Anglican-received,LFF,Current TEC/LFF,Strong candidate,Current LFF; biblical Ethiopian convert and apostolic-era witness with strong Great Five resonance.,naming/identity handling,Pending,,
August,08-26,2,Tarsicius,Martyr of the Eucharist,3rd century,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Strong alternate,Strong Eucharistic martyr tradition; good Catholic supplement but lower source authority than current LFF.,Greater Church remembers; source verification,Pending,,
August,08-26,3,Maximilian of Numidia,Conscientious objector and martyr,295,Greater Church / North African,AM,Anglican martyrology / Great Church,Strong alternate,Excellent martyrial and peace-witness candidate; could be important for project theology but lower source hierarchy.,Greater Church remembers; pacifist resonance,Pending,,
August,08-26,4,Teresa of Ávila’s Transverberation,Mystical feast,,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Review,Devotional mystical feast; likely secondary to person-date commemoration.,feast/genre review,Pending,,
August,08-27,1,Thomas Gallaudet and Henry Winter Syle,Priests,"1902, 1890",Anglican,BCP; LFF; HWHM; GCW,BCP / Current TEC / TEC secondary,Strong candidate,BCP/LFF authority; Anglican priestly and Deaf ministry witness.,group entry,Pending,,
August,08-27,2,Monnica,Mother of Augustine of Hippo,387,Anglican-received Great Church,FAS; SEC; AM,Provincial Anglican / Great Church,Strong alternate,Deep prayer maternal perseverance and conversion witness; strong Great Church option but not current TEC date.,spelling/date harmonization,Pending,,
August,08-27,3,Poemen,Desert Father,5th century,Eastern / Greater Church,AM,Anglican martyrology / Great Church,Usable,Strong desert monastic witness; lower source hierarchy.,Greater Church remembers,Pending,,
August,08-27,4,Caesarius of Arles,Bishop and monastic legislator,543,Greater Church / Western,AM,Anglican martyrology / Great Church,Usable,Strong episcopal monastic and liturgical witness; lower priority than Gallaudet/Syle and Monnica.,Greater Church remembers,Pending,,
August,08-28,1,Augustine of Hippo,Bishop and Theologian,430,Anglican-received Great Church,BCP; LFF; HWHM; GCW; FAS; SEC; AM,BCP / Current TEC / Broad Anglican,Strong candidate,Overwhelming reception; central theologian of the Western Church; spiritual autobiography and episcopal witness.,theological complexity handled honestly,Pending,,
August,08-28,2,Moses the Black,Desert Father and Martyr,c. 405,Anglican-received Great Church,HWHM; GCW; AM,TEC secondary / Great Church,Strong alternate,Strong desert repentance and martyrdom witness but LFF places him on July 2 in current calendar.,date harmonization with July 2,Pending,,
August,08-29,1,The Beheading of Saint John the Baptist,Biblical martyrdom,,Biblical / Anglican-received,LFF; FAS; SEC; AM,Current TEC/LFF / Provincial Anglican,Strong candidate,Major biblical martyrdom feast with strong Anglican provincial and Great Church reception.,none,Pending,,
August,08-29,2,John Bunyan,Writer,1688,Anglican-received Protestant,HWHM; GCW; AM,TEC secondary / Anglican martyrology,Review,Important spiritual writer and pilgrim-discipleship witness but Protestant/non-Anglican status requires rationale.,Protestant/non-Anglican review,Pending,,
August,08-29,3,Ignatius Rice,Founder / educator of poor boys,1844,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Usable,Strong educational charity witness but lower source priority than John Baptist.,Greater Church remembers,Pending,,
August,08-30,1,"Margaret Ward, Margaret Clitherow, and Anne Line",Martyrs,"1588, 1586, 1601",Roman Catholic / Anglican-received,LFF; AM,Current TEC/LFF / Anglican martyrology,Strong candidate with review,Current LFF and clear martyrial witness; English Reformation context requires careful Anglican handling.,Reformation conflict; Roman Catholic martyrs in Anglican context; group entry,Pending,,
August,08-30,2,Charles Chapman Grafton,Bishop of Fond du Lac and Ecumenist,1912,Anglican,HWHM; GCW; AM,TEC secondary / Anglican martyrology,Strong alternate,Anglican bishop and ecumenical/Anglo-Catholic witness; automatic-bishop rule may support inclusion if chosen.,Anglican bishop rule; source hierarchy vs LFF,Pending,,
August,08-30,3,Robert McDonald,Priest in the Western Arctic,1913,Anglican / Canadian,FAS,Provincial Anglican,Strong alternate,Official Canadian Anglican missionary/translation witness among First Nations; needs colonial/mission honesty.,mission/colonial context review,Pending,,
August,08-30,4,John Bunyan,Writer,1688,Anglican-received Protestant,AM,Anglican martyrology,Review,If not used August 29 a possible literary-spiritual witness here but non-Anglican Protestant review remains.,date harmonization; Protestant review,Pending,,
August,08-30,5,Fiacre,Hermit,c. 670,Greater Church / Western,AM,Anglican martyrology / Great Church,Usable,Hermit and hospitality tradition; lower priority than Anglican/LFF candidates.,Greater Church remembers; legendary material,Pending,,
August,08-31,1,Aidan of Lindisfarne,Bishop,651,Anglican-received / Northumbrian-Ionan,BCP; LFF; FAS; SEC; AM,BCP / Current TEC / Broad Anglican,Strong candidate,BCP/LFF authority; missionary bishop of Lindisfarne ascetic and gentle evangelist.,none,Pending,,
August,08-31,2,Aidan and Cuthbert,Bishops of Lindisfarne,"651, 687",Anglican-received / Northumbrian-Ionan,HWHM; GCW,TEC secondary,Strong alternate,Paired Lindisfarne witness in HWHM/GCW but Cuthbert has his own stronger date elsewhere.,date harmonization with Cuthbert,Pending,,
August,08-31,3,Joseph of Arimathea and Nicodemus,Biblical disciples,1st century,Biblical / Anglican-received,AM,Anglican martyrology,Review,Strong Holy Saturday/burial witness but LFF/BCP place Joseph on August 1; Nicodemus pairing could be secondary.,date harmonization with August 1,Pending,,
August,08-31,4,Paulinus of Trier,Bishop and anti-Arian confessor,358,Greater Church / Western,AM,Anglican martyrology / Great Church,Usable,Nicene episcopal witness; lower priority than Aidan.,Greater Church remembers,Pending,,
