month,date,rank,candidate,designation,year_or_period,tradition,source_witnesses,source_tier,preliminary_status,ranking_rationale,review_flags,decision_status,final_primary,notes
October,10-03,3,Thomas Cantilupe of Hereford,Bishop,1282,Anglican / English,AM; Oxford Dictionary of Saints,Anglican martyrology / English calendar witness,Strong alternate,English bishop remembered for pastoral care and disciplined episcopal leadership; good Anglican-family alternative.,date harmonization with October 2; source verification,Pending,,
October,10-03,4,Gerard of Brogne,Abbot and monastic reformer,959,Greater Church / Western,AM,Anglican martyrology / Great Church,Usable,Benedictine monastic reform witness; lower source priority than Mott and Bell.,Greater Church remembers,Pending,,
October,10-03,5,Columba Marmion,Abbot and spiritual writer,1923,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Review,Strong Benedictine spiritual writer but modern Catholic beatified status and lower Anglican source priority require review.,modern review; Greater Church remembers,Pending,,
October,10-04,1,Francis of Assisi,Friar and Deacon,1226,Anglican-received Roman Catholic,BCP; LFF; HWHM; GCW; FAS; SEC transferred; AM; Oxford Dictionary of Saints,BCP / Current TEC / Broad Anglican,Strong candidate,Broad Anglican and Great Church reception; poverty humility creation praise and cruciform discipleship make a very strong holiness case.,none,Pending,,
October,10-04,2,Ammon of Nitria,Monastic,c. 350,Greater Church / Egyptian,AM,Anglican martyrology / Great Church,Usable,Early Egyptian monastic witness but decisively outranked by Francis.,defer under major/broadly received saint; Greater Church remembers,Pending,,
October,10-05,1,Faustina Kowalska,Monastic and Apostle of Divine Mercy,1938,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Strong candidate with review,Strong mercy-focused devotional and monastic witness on a thin Anglican day; modern cultus requires careful Anglican framing.,modern review; private-revelation handling; Greater Church remembers,Pending,,
October,10-05,2,Maurus and Placid,Monastics,6th century,Greater Church / Benedictine,Oxford Dictionary of Saints,Great Church reference,Usable,Early Benedictine disciples and monastic obedience witness; good ancient alternative to modern devotion.,source verification; Greater Church remembers,Pending,,
October,10-05,3,Raymund of Capua,Dominican reformer,1399,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Usable,Dominican reformer and spiritual guide connected with Catherine of Siena; lower priority than Faustina or early monastics.,Greater Church remembers,Pending,,
October,10-05,4,Flora of Beaulieu,Monastic,1347,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Review,Prayerful works-of-mercy story with legendary elements; lower source priority.,legendary material review; Greater Church remembers,Pending,,
October,10-06,1,William Tyndale,Priest and Bible translator,1536,Anglican / Reformation martyr,BCP; LFF; HWHM/GCW with Coverdale; AM,BCP / Current TEC / TEC secondary,Strong candidate with review,BCP/LFF authority and costly Scripture-translation witness; Reformation polemics require honest handling.,Reformation conflict; Protestant-reformer caution; date harmonization with Coverdale grouping,Pending,,
October,10-06,2,William Tyndale and Miles Coverdale,Translators of the Bible,"1536, 1568",Anglican / Reformation witnesses,HWHM; GCW,TEC secondary,Strong alternate,TEC secondary source preserves the translation-pair form; useful for Scripture-and-language formation.,group entry; date harmonization with single Tyndale LFF form,Pending,,
October,10-06,3,Bruno of Cologne,Monastic founder,1101,Roman Catholic / Greater Church,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Strong alternate,Carthusian founder and strong contemplative/eremitic holiness candidate.,Greater Church remembers,Pending,,
October,10-06,4,Faith of Agen,Martyr,3rd century,Greater Church / Western,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Usable,Ancient martyr with medieval devotion; legendary/cultic material requires care.,legendary material review; Greater Church remembers,Pending,,
October,10-07,1,Birgitta of Sweden,Mystic,1373,Anglican-received Roman Catholic,LFF,Current TEC/LFF,Strong candidate,Current LFF authority and strong mystical/prophetic penitential witness.,Greater Church remembers; visionary material handling,Pending,,
October,10-07,2,Henry Melchior Muhlenberg,Lutheran Pastor in North America,1787,Lutheran / Anglican-received,HWHM; GCW,TEC secondary,Review,Important pastoral and liturgical organizing witness; non-Anglican Protestant status requires reception rationale.,Protestant/non-Anglican review; institutional-founder caution,Pending,,
October,10-07,3,Our Lady of the Rosary,Marian devotional feast,,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Review,Devotional Marian feast with historical-victory context; needs Anglican placement and violence-context discipline.,Marian-title feast review; historical-violence framing; Greater Church remembers,Pending,,
October,10-07,4,Justina of Padua,Martyr,early centuries,Greater Church / Western,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Usable,Ancient martyrial witness but thin in current source set.,source verification; Greater Church remembers,Pending,,
October,10-08,1,Alexander Penrose Forbes,Bishop of Brechin,1875,Anglican / Scottish,SEC; AM,Provincial Anglican / Anglican martyrology,Strong candidate,Anglican bishop and Scottish Episcopal theological/pastoral witness; automatic-bishop rule supports inclusion.,Anglican bishop rule; eucharistic-controversy context,Pending,,
October,10-08,2,William Dwight Porter Bliss and Richard Theodore Ely,Priest and Economist,"1926, 1943",Anglican-received,HWHM; GCW,TEC secondary,Review,Christian social witness but group form and economic/social significance require strict holiness test.,social-impact caution; group entry,Pending,,
October,10-08,3,Simeon the God-Receiver,Biblical elder,,Biblical / Great Church,AM,Anglican martyrology / biblical commemoration,Strong alternate,Biblical prayerful witness to Christ and Nunc Dimittis; requires whole-year biblical/Old Testament strategy.,biblical-date strategy; Greater Church remembers,Pending,,
October,10-08,4,Pelagia of Antioch,Penitent / martyr tradition,early centuries,Greater Church / Eastern-Western,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Review,Penitential tradition is spiritually potent but legendary and identity-confused material requires care.,legendary material review; Greater Church remembers,Pending,,
October,10-08,5,Demetrius of Sirmium,Deacon and Martyr,early centuries,Greater Church / Eastern-Western,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Usable,Ancient deacon-martyr witness; lower priority than Forbes or Simeon.,Greater Church remembers; source verification,Pending,,
October,10-09,1,Robert Grosseteste,Bishop of Lincoln,1253,Anglican / English,BCP; LFF; AM,BCP / Current TEC / Anglican martyrology,Strong candidate,BCP/LFF bishop and theologian-scientist; strong Anglican-family episcopal and reforming witness.,Anglican bishop rule; scholar/scientist framing,Pending,,
October,10-09,2,Wilfred Thomason Grenfell,Medical Missionary,1940,Anglican-received,HWHM; GCW,TEC secondary,Review,Strong medical missionary witness but modern humanitarian significance needs holiness/prayability framing.,modern review; humanitarian/social-impact caution,Pending,,
October,10-09,3,Dionysius the Areopagite,Biblical convert / mystical-theological tradition,1st century / pseudonymous later tradition,Biblical / Greater Church,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Review,Powerful mystical-theological tradition but identity confusion between biblical convert martyr and Pseudo-Dionysius requires clarity.,identity/source confusion; Greater Church remembers,Pending,,
October,10-09,4,Abraham,Patriarch,,Biblical / Old Testament,AM,Anglican martyrology / biblical commemoration,Review,Major biblical ancestor in faith but requires whole-year biblical/Old Testament commemoration strategy.,Old Testament strategy; date/source verification,Pending,,
October,10-09,5,John Leonardi,Priest and reformer,1609,Roman Catholic / Greater Church,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Usable,Post-Tridentine pastoral reform and works-of-mercy witness; lower Anglican source priority.,Greater Church remembers,Pending,,
October,10-10,1,Vida Dutton Scudder,Educator,1954,Anglican,LFF; BCP bracketed; HWHM; GCW,Current TEC/LFF / BCP bracketed / TEC secondary,Strong candidate with review,Current LFF and Anglican contemplative-action witness; must be framed through prayer and discipleship rather than activism alone.,social-impact caution; modern review,Pending,,
October,10-10,2,Paulinus of York,Bishop and Missionary,644,Anglican / English,FAS; AM,Provincial Anglican / Anglican martyrology,Strong alternate,First bishop of York and Northumbrian missionary witness; strong Anglican-family alternate if Scudder is deferred.,source/date verification,Pending,,
October,10-10,3,Francis Borgia,Jesuit priest and administrator,1572,Roman Catholic / Greater Church,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Usable,Renunciation administrative obedience and Jesuit mission witness; lower priority than Anglican candidates.,Greater Church remembers,Pending,,
October,10-10,4,Daniel Comboni,Bishop and missionary,1881,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Review,Important African mission advocate; mission/colonial and modern framing require care.,mission/colonial context; Greater Church remembers,Pending,,
October,10-10,5,Thomas Traherne,Priest and mystical writer,1674,Anglican,AM; HWHM/GCW on Sep 27,Anglican martyrology / TEC date elsewhere,Review / date harmonization,Strong Anglican mystical theologian but already appears in September matrix; hold for whole-year date harmonization.,date harmonization with September 27,Pending,,
October,10-11,1,Philip,Deacon and Evangelist,1st century,Biblical / Anglican-received,BCP; LFF; HWHM; GCW; AM,BCP / Current TEC / TEC secondary,Strong candidate,Biblical diaconal and evangelistic witness including Samaria and the Ethiopian official.,none,Pending,,
October,10-11,2,Kenneth / Canice,Abbot,c. 600,Anglican / Irish-Scottish,AM; SEC transfer witness; Oxford Dictionary of Saints,Anglican martyrology / Provincial Anglican,Strong alternate,Irish and Scottish monastic/missionary witness with strong regional Anglican resonance.,SEC transfer artifact; source/date verification,Pending,,SEC 2026 transfers Kenneth to Oct 13 from Oct 11.
October,10-11,3,James the Deacon,Deacon and missionary,7th century,Anglican / Northumbrian,AM,Anglican martyrology,Strong alternate,Deacon who continued mission in Northumbria after Paulinus fled; strong diaconal perseverance witness.,source/date verification,Pending,,
October,10-11,4,Ethelburga of Barking,Abbess,675,Anglican / English,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Usable,Early English abbess and monastic witness; lower source priority than Philip.,source verification,Pending,,
October,10-11,5,Bruno of Cologne,Archbishop and monastic reformer,965,Greater Church / Western,AM,Anglican martyrology / Great Church,Usable,Episcopal and monastic reform witness; lower priority and potential name/date confusion with Bruno of Cologne/Carthusian founder on Oct 6.,name/date distinction; Greater Church remembers,Pending,,
October,10-12,1,Edith Cavell,Nurse,1915,Anglican,LFF; AM,Current TEC/LFF / Anglican martyrology,Strong candidate with review,Current LFF and Anglican nurse executed in wartime after works of mercy; strong courage and mercy witness.,modern/war context; national-hero framing caution,Pending,,
October,10-12,2,Elizabeth Fry,Prison reformer and philanthropist,1845,Quaker / Anglican-received,SEC; AM,Provincial Anglican / Anglican martyrology,Review,Deep Christian reforming witness among prisoners but social-reformer framing requires holiness test.,social-impact caution; Protestant/non-Anglican review,Pending,,
October,10-12,3,Wilfrid of Ripon,Bishop,709,Anglican / English,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Strong alternate,Major English bishop and missionary-reformer; strong Anglican-family candidate though politically complex.,episcopal conflict context; source verification,Pending,,
October,10-12,4,Edwin of Northumbria,King and convert,633,Anglican / English,Oxford Dictionary of Saints,Great Church / English calendar witness,Review,Important royal convert but ruler-saint and Christianization politics require careful handling.,ruler-saint review; source verification,Pending,,
October,10-13,1,Edward the Confessor,King of England,1066,Anglican / English,FAS; AM; Oxford Dictionary of Saints,Provincial Anglican / Anglican martyrology,Strong candidate with review,English royal saint with Westminster and peace/justice tradition; ruler-saint caution applies.,ruler-saint review; Westminster/royal cultus handling,Pending,,
October,10-13,2,Kenneth / Canice,Abbot,c. 600,Anglican / Irish-Scottish,SEC transfer witness; AM on Oct 11,Provincial Anglican transfer / Anglican martyrology,Review / date harmonization,SEC 2026 transfer from Oct 11; do not treat as fixed date without harmonization.,SEC transfer artifact; date harmonization with October 11,Pending,,
October,10-13,3,Gerald of Aurillac,Lay ruler / monastic patron,909,Greater Church / Western,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Usable,Lay holiness expressed through justice generosity and monastic patronage; lower Anglican priority than Edward.,ruler/lay magnate review; Greater Church remembers,Pending,,
October,10-13,4,Comgan,Abbot / Scottish saint,8th century,Anglican / Scottish,Oxford Dictionary of Saints,Great Church / Scottish witness,Usable,Scottish/Irish monastic candidate but current source evidence is thin.,source verification,Pending,,
October,10-14,1,Samuel Isaac Joseph Schereschewsky,Bishop and Missionary,1906,Anglican,BCP; LFF; HWHM; GCW,BCP / Current TEC / TEC secondary,Strong candidate,BCP/LFF Anglican bishop and Bible-translation missionary witness; automatic bishop rule applies.,Anglican bishop rule; mission/translation framing,Pending,,
October,10-14,2,Esther John,Missionary and Martyr,1960,Anglican / Pakistan,AM,Anglican martyrology,Strong alternate,Modern Anglican/Christian martyr and women’s mission witness; strong alternate but lower source authority.,modern martyr review; family/religious-conversion sensitivity,Pending,,
October,10-14,3,Callistus I,Bishop of Rome and Martyr,222,Roman Catholic / Greater Church,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Usable,Early Roman bishop with pastoral/reconciliation witness; lower Anglican priority than Schereschewsky.,Greater Church remembers; contested-source handling,Pending,,
October,10-14,4,Justus of Lyon,Bishop / hermit,c. 390,Greater Church / Western,AM,Anglican martyrology / Great Church,Usable,Episcopal renunciation and eremitical witness; lower priority.,Greater Church remembers,Pending,,
October,10-15,1,Teresa of Avila,Mystic and Monastic Reformer,1582,Anglican-received Roman Catholic,BCP; LFF; HWHM; GCW; FAS; SEC; AM,BCP / Current TEC / Broad Anglican,Strong candidate,Broad Anglican and Great Church reception; major contemplative teacher and monastic reformer.,none,Pending,,
October,10-15,2,John of the Cross,Priest and Spiritual Teacher,1591,Roman Catholic / Anglican-received,FAS,Provincial Anglican,Strong alternate,Major Carmelite mystical theologian paired by FAS with Teresa on this date; strong but likely belongs on December 14 in LFF/BCP sequence.,date harmonization with December 14; Greater Church remembers,Pending,,
October,10-15,3,Richard Gwyn,Martyr,1584,Roman Catholic / Welsh / Anglican-context contested,AM,Anglican martyrology / Great Church,Review,Welsh Roman Catholic martyrial witness; Reformation-context handling required.,Reformation conflict; Greater Church remembers,Pending,,
October,10-15,4,Thecla,Martyr / apostolic-era woman,c. 1st-2nd century,Greater Church / Anglican-received,Oxford Dictionary of Saints,Great Church reference,Review / date harmonization,Ancient female ascetical/apostolic witness but LFF places Thecla on September 23; hold for harmonization.,date harmonization with September 23; legendary material review,Pending,,
October,10-16,1,Current LFF Reformation Martyrs form: Hugh Latimer Nicholas Ridley and Thomas Cranmer,Bishops / Archbishop and Martyrs,"1555, 1556",Anglican / Reformation martyrs,LFF; BCP date context; HWHM/GCW older form without Cranmer,Current TEC/LFF / BCP date context / TEC secondary,Strong candidate with review,Current LFF includes Cranmer with Latimer and Ridley; very high Anglican source authority but Reformation conflict must be handled truthfully.,Reformation conflict; group-form harmonization; Protestant-reformer caution,Pending,,Crosswise QC promoted current LFF form above older two-bishop form.
October,10-16,2,Older BCP/HWHM form: Hugh Latimer and Nicholas Ridley,Bishops and Martyrs,1555,Anglican / Reformation martyrs,BCP; HWHM; GCW; AM,BCP / TEC secondary / Anglican martyrology,Strong alternate,Prayer Book and Anglican martyrial witness; retained separately because source forms differ on whether Cranmer is included.,Reformation conflict; Protestant-reformer caution; group-form harmonization with Cranmer,Pending,,
October,10-16,3,Gall,Monastic missionary,c. 650,Anglican-received / Irish-Swiss,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Strong alternate,Irish missionary and hermit who became associated with St Gall; strong monastic/missionary candidate.,Greater Church remembers; source verification,Pending,,
October,10-16,4,Hedwig of Silesia,Duchess and monastic patron,1243,Roman Catholic / Greater Church,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Usable,Married/lay ascetical and works-of-mercy witness; lower priority than Anglican martyrs.,ruler-family/lay holiness review; Greater Church remembers,Pending,,
October,10-16,5,Margaret Mary Alacoque,Monastic and mystic,1690,Roman Catholic / Greater Church,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Review,Sacred Heart visionary and monastic witness; private-revelation devotional handling required.,private-revelation handling; Greater Church remembers,Pending,,
October,10-16,6,Daniel Rowland,Priest / Welsh revival preacher,1790,Anglican / Methodist revival,AM,Anglican martyrology,Review,Welsh Anglican/Methodist revival witness; requires careful Anglican-reception and revivalist-framing review.,Protestant/revivalist review; source verification,Pending,,
October,10-17,1,Ignatius of Antioch,Bishop and Martyr,c. 115,Anglican-received Great Church,BCP; LFF; HWHM; GCW; FAS; SEC; AM,BCP / Current TEC / Broad Anglican,Strong candidate,Major apostolic father bishop and martyr; broad Anglican and Great Church reception.,none,Pending,,
October,10-17,2,John the Dwarf,Desert Father,409,Greater Church / Egyptian,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Strong alternate,Deep desert monastic witness; strong alternate but cannot displace Ignatius.,Greater Church remembers; defer under major patristic martyr,Pending,,
October,10-17,3,Etheldreda / Æthelthryth,Abbess,679,Anglican / English,Oxford Dictionary of Saints; AM date variant,Great Church / English calendar witness,Usable,Major English abbess but her principal Anglican date likely belongs elsewhere; harmonization needed.,date harmonization; source verification,Pending,,
October,10-17,4,Ursuline Martyrs of Valenciennes and Laval Martyrs,Martyrs,1794,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Usable,Martyrial witness during French Revolution; lower priority than Ignatius and requires group/context care.,group entry; historical-violence framing; Greater Church remembers,Pending,,
October,10-18,1,Saint Luke the Evangelist,Evangelist,1st century,Apostolic / Anglican-received,BCP; LFF; HWHM; FAS; SEC transferred; AM; Oxford Dictionary of Saints,BCP / Current TEC / Broad Anglican,Strong candidate,Uncontested apostolic/evangelist feast with broad Anglican and Great Church reception.,none,Pending,,SEC 2026 transfers Luke to Oct 19 because Oct 18 is a Sunday; fixed date remains Oct 18.
October,10-18,2,John of Bridlington,Prior,1379,Anglican / English,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Weak / defer,English Augustinian holiness candidate but cannot displace Saint Luke.,defer under evangelist; source verification,Pending,,
October,10-18,3,Gwen of Cornwall,Holy woman,,Anglican / Cornish,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Weak / defer,Local Cornish witness but thin in current source set and cannot displace Luke.,defer under evangelist; source verification,Pending,,
October,10-19,1,Henry Martyn,Priest and Missionary,1812,Anglican,BCP; LFF; HWHM; GCW; SEC transfer witness; AM,BCP / Current TEC / TEC secondary,Strong candidate with review,BCP/LFF Anglican priest and missionary translator; high source authority and strong discipleship/mission witness.,mission/colonial context review; SEC transfer artifact,Pending,,SEC 2026 transfers Henry Martyn to Oct 20 because Luke is transferred to Oct 19.
October,10-19,2,Jean de Brébeuf Isaac Jogues and Companions,Missionaries and Martyrs in New France,1642-1649,Roman Catholic / Anglican-received,FAS; AM; Oxford Dictionary of Saints,Provincial Anglican / Anglican martyrology / Great Church,Strong alternate,Major martyrial missionary witness in North America; strong provincial Anglican source but requires colonial/Indigenous context honesty.,mission/colonial context; Greater Church remembers,Pending,,
October,10-19,3,Frideswide,Abbess,735,Anglican / English,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Strong alternate,Oxford abbess and local English cultus; strong Anglican-family candidate but lower source priority than Henry Martyn.,source verification,Pending,,
October,10-19,4,William Carey,Missionary to India,1834,Baptist / Anglican-received,HWHM; GCW,TEC secondary,Review,Major Protestant missionary witness but non-Anglican status and colonial mission framing require review.,Protestant/non-Anglican review; mission/colonial context,Pending,,
October,10-19,5,Paul of the Cross,Priest and founder,1775,Roman Catholic / Greater Church,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Usable,Founder of the Passionists and strong Passion-centered spirituality; lower priority than Anglican and provincial candidates.,Greater Church remembers,Pending,,
October,10-20,1,Cornelius the Centurion,Biblical convert,1st century,Biblical / Anglican-received,LFF,Current TEC/LFF,Strong candidate,Current LFF and biblical witness to Gentile inclusion and the Spirit’s work beyond expected boundaries.,none,Pending,,
October,10-20,2,Acca of Hexham,Bishop,740,Anglican / English,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Strong alternate,Northumbrian bishop and learned pastoral successor to Wilfrid; good Anglican-family candidate.,source/date verification,Pending,,
October,10-20,3,Andrew of Crete,Monk and martyr,766,Eastern Orthodox / Greater Church,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Usable,Iconophile monastic martyrial witness; strong Byzantine supplement.,Greater Church remembers; iconoclasm context,Pending,,
October,10-20,4,Bertilla Boscardin,Monastic and nurse,1922,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Review,Modern nurse/monastic worker-of-mercy witness; lower source priority and modern review needed.,modern review; Greater Church remembers,Pending,,
October,10-20,5,Mary Teresa de Soubiran,Religious founder,1889,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Review,Works-of-mercy and unjust suffering in religious life; lower source priority.,modern review; Greater Church remembers,Pending,,
October,10-21,1,Hilarion,Monastic,371,Greater Church / Palestinian-Cypriot,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Strong candidate,Major early monastic witness formed by Antony and remembered by Jerome; strong Great Church candidate on a thin Anglican day.,Greater Church remembers,Pending,,
October,10-21,2,Fintan Munnu,Abbot,635,Anglican / Irish,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Strong alternate,Irish monastic founder and defender of Celtic customs; good Anglican-family alternate.,source verification,Pending,,
October,10-21,3,Ursula and Companions,Martyrs,legendary,Greater Church / Western,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Review,Historically and devotionally influential but legendary material is substantial.,legendary material review; Greater Church remembers,Pending,,
October,10-21,4,Malchus,Monastic,4th century,Greater Church / Syrian,Oxford Dictionary of Saints,Great Church reference,Usable,Early monastic witness known through Jerome; lower source priority.,source verification; Greater Church remembers,Pending,,
October,10-22,1,Ignatius of Jesus OSB (Joseph Leycester Lyne),Anglican monastic founder,1908,Anglican,AM,Anglican martyrology,Strong candidate with review,Anglican monastic revival pioneer and founder at Llanthony; strong project fit but eccentricity and local-source status require review.,modern review; source verification; hagiographic-honesty review,Pending,,
October,10-22,2,Albercius of Hieropolis,Bishop,c. 200,Greater Church / Phrygian,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Strong alternate,Early episcopal witness with Eucharistic and pilgrimage testimony; strong Great Church candidate.,Greater Church remembers; source verification,Pending,,
October,10-22,3,John Paul II,Bishop of Rome,2005,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Review,Major modern pope with global pastoral witness; modern controversies and Roman-specific cultus require careful handling.,modern review; abuse-crisis/context review; Greater Church remembers,Pending,,
October,10-22,4,Donatus of Fiesole,Bishop,876,Greater Church / Irish-Italian,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Usable,Irish pilgrim elected bishop and writer devoted to Brigid; good Great Church/Irish alternate.,Greater Church remembers; source verification,Pending,,
October,10-22,5,Interior Life of Our Lady,Marian devotional commemoration,,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Review,Devotional Marian observance rather than saint-day; probably secondary apparatus not primary Kalendar slot.,Marian-title/devotional feast review; Greater Church remembers,Pending,,
October,10-23,1,Saint James of Jerusalem,Brother of Our Lord and Martyr,c. 62,Apostolic / Anglican-received,BCP; LFF; HWHM; FAS; AM; Coptic/Ethiopian witness date variants,BCP / Current TEC / Broad Anglican,Strong candidate,Major apostolic/Jerusalem episcopal witness with Prayer Book authority; uncontested primary candidate.,none,Pending,,
October,10-23,2,Boethius,Philosopher and martyr?,524,Greater Church / Western,Oxford Dictionary of Saints,Great Church reference,Review,Profound Christian philosophical witness but sanctity and martyr-status framing require care.,intellectual-significance caution; martyr-status review; Greater Church remembers,Pending,,
October,10-23,3,John of Capistrano,Friar and preacher,1456,Roman Catholic / Greater Church,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Review,Franciscan reform/preaching witness but anti-Jewish and anti-Muslim polemics require strict hagiographic honesty.,hagiographic-honesty review; Greater Church remembers,Pending,,
October,10-23,4,Ethelfleda of Romsey,Abbess,c. 970,Anglican / English,Oxford Dictionary of Saints,English calendar witness,Usable,English abbess and monastic witness; lower source priority than James.,source verification,Pending,,
October,10-24,1,Hiram Hisanori Kano,Priest,1986,Anglican,GCW,TEC secondary,Strong candidate with review,Anglican priestly witness among Japanese Americans; strong pastoral perseverance case on a thin LFF day.,modern review; wartime/race context,Pending,,
October,10-24,2,Antony Mary Claret,Bishop and missionary,1870,Roman Catholic / Greater Church,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Usable,Missionary bishop and founder; lower source priority than Kano.,Greater Church remembers,Pending,,
October,10-24,3,Maglorius,Bishop / monastic,6th century,Greater Church / Celtic,Oxford Dictionary of Saints,Great Church reference,Usable,Celtic episcopal/monastic witness; source evidence in current Anglican files is thin.,source verification; Greater Church remembers,Pending,,
October,10-24,4,Felix of Thibiuca,Bishop and Martyr,303,Greater Church / North African,Oxford Dictionary of Saints,Great Church reference,Usable,Ancient North African episcopal martyr; lower source priority.,source verification; Greater Church remembers,Pending,,
