month,date,rank,candidate,designation,year_or_period,tradition,source_witnesses,source_tier,preliminary_status,ranking_rationale,review_flags,decision_status,final_primary,notes
July,07-13,3,Silas / Silvanus,Companion of Paul,,Apostolic / Great Church,AM,Anglican martyrology / Great Church,Usable,"Biblically strong but lower Anglican source authority for this date.",date/source verification,Pending,,
July,07-13,4,Henry II and Kunegunda,Emperor and Empress / rulers,,Greater Church / Western,AM,Anglican martyrology / Great Church,Weak / defer,Possible holiness candidate but weaker for this project than missionary bishop Henry.,source verification,Pending,,
July,07-14,1,Argula von Grumbach,Scholar and Church Reformer,c. 1554,Anglican-received Protestant,LFF,Current TEC/LFF,Review,"Current LFF authority, but Protestant-reformer caution applies.",Protestant-reformer caution; holiness test,Pending,,
July,07-14,2,Samson Occom,Priest / Missionary / Indigenous Christian witness,,Anglican-received,HWHM; GCW,TEC secondary,Review,Indigenous Christian witness; needs careful source and holiness review.,source verification; holiness test,Pending,,
July,07-14,3,Kateri Tekakwitha,Lay contemplative,,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Usable,Strong Catholic holiness candidate if Anglican options fail.,Greater Church remembers,Pending,,
July,07-14,4,Oxford Movement / John Keble Assize Sermon anniversary,Ecclesial event,1833,Anglican,AM,Anglican martyrology,Review,"Highly Anglican event, but Keble's main commemoration belongs elsewhere and this is event-based rather than saint-based.",ecclesial-event genre review,Pending,,
July,07-15,1,Bonaventure,Bishop and Theologian,1274,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Strong candidate,Thin Anglican day; strongest theological/spiritual candidate.,Greater Church remembers,Pending,,
July,07-15,2,Swithin translation,Translation of relics,,Anglican / English,AM,Anglican martyrology,Weak / defer,Anglican-heritage option but translation date is less clean than July 2 memorial.,translation-date review,Pending,,
July,07-15,3,Vladimir of Kyiv,Ruler / Equal-to-the-Apostles,,Eastern Christian / Greater Church,AM,Anglican martyrology / Great Church,Usable,"Important Eastern Christian witness; could be considered if Byzantine supplementation is desired.",Great Five supplement; ruler-saint review,Pending,,
July,07-16,1,Osmund of Salisbury,Bishop,,Anglican / English,AM,Anglican martyrology,Strong candidate,"Best Anglican-family option: Salisbury/Sarum relevance, episcopal holiness, English church importance.",source verification,Pending,,
July,07-16,2,Our Lady of Mount Carmel / Our Lady of the Hermits,Marian devotional feast,,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Review,Devotionally rich but needs placement discipline and Marian-title handling.,Marian-title feast review,Pending,,
July,07-16,3,The Righteous Gentiles,Group commemoration,,Anglican-received / non-sanctoral,HWHM; GCW,TEC secondary,Exclude from primary consideration,Does not fit Christian-sanctoral primary commemoration under current rules.,non-Christian/non-sanctoral; genre mismatch,Pending,,"May belong in another apparatus, not Kalendar v0.1 primary."
July,07-16,4,Fulrad,Abbot,,Greater Church / Western,AM,Anglican martyrology / Great Church,Weak / defer,Possible monastic candidate but weaker than Osmund.,source verification,Pending,,
July,07-17,1,William White,Bishop of Pennsylvania,1836,Anglican,BCP; LFF; HWHM; GCW,BCP / Current TEC / TEC secondary,Strong candidate,Prayer Book/LFF authority and automatic inclusion under Anglican-bishops-on-calendar rule.,none,Pending,,
July,07-17,2,Jane Haining,Missionary and Martyr,,Anglican / Scottish,SEC,Provincial Anglican,Strong alternate,"Strong martyrial candidate, but lower hierarchy than BCP/LFF William White.",source verification,Pending,,
July,07-17,3,Marcellina,Monastic / sister of Ambrose,,Greater Church / Western,AM,Anglican martyrology / Great Church,Usable,"Good Great Church option but lower source hierarchy.",Greater Church supplement,Pending,,
July,07-17,4,Leo IV,Bishop of Rome,,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Weak / defer,Recognized Great Church figure but weaker fit than White or Haining.,source verification,Pending,,
July,07-18,1,Bartolomé de las Casas,Friar and Missionary to the Indies,1566,Anglican-received / Roman Catholic,HWHM; GCW,TEC secondary,Review,TEC secondary-source weight and strong prophetic repentance/justice case; colonial complexity requires honest handling.,colonial complexity; holiness test,Pending,,
July,07-18,2,Elizabeth Ferard,Deaconess,,Anglican,AM,Anglican martyrology,Strong alternate,Very strong Anglican vocational candidate; could outrank Las Casas if Anglican identity is prioritized over TEC secondary-source authority.,source verification,Pending,,
July,07-18,3,Elizabeth of Russia,Monastic and Martyr,,Eastern Orthodox / Greater Church,AM,Anglican martyrology / Great Church,Strong alternate,"Spiritually powerful monastic/martyrial witness, but Greater Church rather than Anglican.",Greater Church remembers,Pending,,
July,07-18,4,Camillus de Lellis,Priest / founder / worker of mercy,,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Usable,Strong charity/mercy witness but lower in source hierarchy for this day.,Greater Church supplement,Pending,,
July,07-19,1,Macrina of Caesarea,Monastic and Teacher,379,Anglican-received Great Church,BCP; LFF; HWHM; GCW; AM,BCP / Current TEC / TEC secondary,Strong candidate,"Monastic, theological, patristic, and widely received.",none,Pending,,
July,07-19,2,Adelaide Teague Case,Educator,,Anglican-received,HWHM,TEC secondary,Weak / defer,Meaningful educational witness but weaker for first-pass sanctoral centrality than Macrina.,holiness test,Pending,,
July,07-19,3,Arsenius,Monastic,,Greater Church / Eastern,AM,Anglican martyrology / Great Church,Usable,Strong monastic candidate but lower source hierarchy than Macrina.,Great Church supplement,Pending,,
July,07-20,1,Elijah the Prophet,Prophet,,Biblical / Great Church,AM,Anglican martyrology / Great Church,Strong candidate,Strong biblical and Great Church synaxarial candidate on a contested day.,Greater Church remembers; date/source verification,Pending,,
July,07-20,2,Margaret / Marina of Antioch,Martyr,,Greater Church / Western/Eastern,AM,Anglican martyrology / Great Church,Usable,"Martyrial candidate, but legendary material may require careful handling.",legendary material review,Pending,,
July,07-20,3,"Elizabeth Cady Stanton, Amelia Bloomer, Sojourner Truth, and Harriet Tubman / Social Reformers",Social reformer group,,Anglican-received,BCP; HWHM; GCW; modified in LFF,BCP / TEC secondary / Current TEC modified,Review,High Anglican source authority but directly triggers holiness-not-significance rule; group title is not ideal for this project.,social-impact caution; group entry; Tubman separate handling,Pending,,Tubman may deserve inclusion elsewhere under separate holiness rationale.
July,07-21,1,Maria Skobtsova,Monastic and Martyr,1945,Anglican-received / Eastern Orthodox,LFF,Current TEC/LFF,Strong candidate,Monastic/martyrial holiness case is unusually strong and current LFF supports her.,modern review,Pending,,
July,07-21,2,Albert Luthuli,Prophetic witness / public moral figure,,Anglican-received,HWHM; GCW,TEC secondary,Review,Significant Christian public witness but requires social-impact caution.,social-impact caution; holiness test,Pending,,
July,07-21,3,William Wilberforce,Social Reformer,1833,Anglican,SEC date,Provincial Anglican,Review,Strong Anglican figure but social-reformer caution applies; also appears on other dates.,date harmonization; social-impact caution,Pending,,
July,07-21,4,Laurence of Brindisi,Priest and Doctor,,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Usable,Strong Catholic theological witness but lower source hierarchy than Maria.,Great Church supplement,Pending,,
July,07-22,1,Mary Magdalene,Apostle to the Apostles / Biblical saint,,Anglican-received Great Church,BCP; LFF; HWHM; FAS; SEC; AM,BCP / Current TEC / Broad Anglican,Strong candidate,"Major biblical saint, resurrection witness, broad Anglican and Great Church reception.",none,Pending,,
July,07-22,2,Wandrille,Abbot,,Greater Church / Western,AM,Anglican martyrology / Great Church,Weak / defer,Good monastic option but decisively outranked by Mary Magdalene.,source verification,Pending,,
July,07-23,1,John Cassian,Monastic and Theologian,435,Anglican-received Great Church,LFF; GCW,Current TEC/LFF / TEC secondary,Strong candidate,Monastic and theological influence directly relevant to theosis.,none,Pending,,
July,07-23,2,Bridget of Sweden,Mystic,,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Strong alternate,"Powerful mystic but lower Anglican source authority for this date.",Greater Church supplement,Pending,,
July,07-23,3,Declan of Ardmore,Bishop / missionary,,Anglican / Irish,AM,Anglican martyrology,Usable,Irish ecclesial witness but lower source priority than Cassian.,source verification,Pending,,
July,07-24,1,Thomas à Kempis,Priest and Mystic,1471,Anglican-received Great Church,BCP; LFF; HWHM; GCW,BCP / Current TEC / TEC secondary,Strong candidate,Strong devotional formation and broad Anglican reception.,none,Pending,,
July,07-24,2,Declan of Ardmore,Bishop / missionary,,Anglican / Irish,AM,Anglican martyrology,Usable,Irish ecclesial witness; lower source priority than Thomas à Kempis.,source verification,Pending,,
July,07-24,3,Boris and Gleb,Passion-bearers / martyrs,,Eastern Orthodox / Greater Church,AM,Anglican martyrology / Great Church,Strong alternate,Excellent Eastern Christian option but should not displace Thomas absent redistribution.,Greater Church supplement,Pending,,
July,07-24,4,Sharbel Makhluf,Maronite monk / priest,,Maronite Catholic / Greater Church,AM,Anglican martyrology / Great Church,Strong alternate,Excellent ascetical/monastic option but lower Anglican source authority than Thomas.,Greater Church supplement,Pending,,
July,07-25,1,James the Apostle,Apostle,,Apostolic / Anglican-received,BCP; LFF; HWHM; FAS; SEC; AM,BCP / Current TEC / Broad Anglican,Strong candidate,Uncontested major apostolic feast.,none,Pending,,
July,07-26,1,Joachim and Anne,Parents of the Blessed Virgin Mary,,Anglican-received Great Church,BCP; LFF; HWHM; GCW; FAS; SEC; AM,BCP / Current TEC / Broad Anglican,Strong candidate,Overwhelming Anglican and Great Church reception; Marian family witness.,none,Pending,,
July,07-26,2,Charles Raymond Barnes,Episcopal Priest and Martyr,,Anglican,GCW,TEC secondary,Strong alternate,"Strong Anglican martyrial candidate; likely alternate/future secondary card rather than primary if Joachim and Anne remain.",alternate candidate,Pending,,
July,07-27,1,William Reed Huntington,Priest,1909,Anglican,BCP; LFF; HWHM; GCW,BCP / Current TEC / TEC secondary,Strong candidate,Prayer Book/LFF authority and Anglican ecclesial/liturgical/ecumenical witness.,none,Pending,,
July,07-27,2,John Comper,Priest,,Anglican / Scottish,SEC,Provincial Anglican,Usable,Meaningful Anglican liturgical/aesthetic witness but lower source hierarchy.,source verification,Pending,,
July,07-27,3,Brooke Foss Westcott,Bishop / theologian,,Anglican,AM,Anglican martyrology,Usable,Meaningful Anglican theological witness but lower source hierarchy.,source verification,Pending,,
July,07-27,4,Pantaleon,Unmercenary physician / martyr,,Greater Church / Eastern-Western,AM,Anglican martyrology / Great Church,Usable,Strong Great Church martyr/healer option but lower priority than Huntington.,Great Church supplement,Pending,,
July,07-28,1,Johann Sebastian Bach,Composer,1750,Anglican-received Lutheran,LFF,Current TEC/LFF,Review,"Ranks first only if framed as doxological vocation and disciplined Christian craft, not genius/aesthetic admiration.",artist/composer holiness test; Protestant-adjacent,Pending,,
July,07-28,2,"Johann Sebastian Bach, George Frideric Handel, and Henry Purcell",Composers,,Anglican-received,HWHM; GCW,TEC secondary,Review,"Broader musician grouping but less focused than LFF Bach entry.",artist/composer holiness test; group entry,Pending,,
July,07-28,3,Samson of Dol,Bishop and Missionary,,Anglican / Celtic,AM,Anglican martyrology,Strong alternate,Strong hagiographical fallback if artists/composers are judged weak primary entries.,source verification,Pending,,
July,07-28,4,Victor I,Bishop of Rome,,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Weak / defer,Recognized Great Church figure but weaker fit than Bach or Samson.,source verification,Pending,,
July,07-29,1,Mary, Martha, and Lazarus / Mary and Martha of Bethany,Biblical household / disciples,,Anglican-received Great Church,BCP; LFF; HWHM; GCW; SEC,BCP / Current TEC / Broad Anglican,Strong candidate,"Biblical household of contemplation, service, friendship, grief, resurrection, and discipleship.",none,Pending,,
July,07-29,2,Philadelphia Eleven / First Ordination of Women to the Priesthood in TEC,Ecclesial event,1974,Anglican,LFF bracketed; GCW,Current TEC bracketed / TEC secondary,Review,"Important ecclesial event, but may belong as event/alternate rather than primary saint of the day.",ecclesial-event genre review; modern controversy,Pending,,
July,07-29,3,William Wilberforce,Social Reformer,1833,Anglican,FAS date,Provincial Anglican,Review,Strong Anglican witness but social-reformer caution and date harmonization apply.,date harmonization; social-impact caution,Pending,,
July,07-29,4,Lupus of Troyes,Bishop,,Greater Church / Western,AM,Anglican martyrology / Great Church,Usable,Good episcopal holiness option but lower source hierarchy than Bethany household.,Great Church supplement,Pending,,
July,07-30,1,William Wilberforce,Social Reformer,1833,Anglican,BCP; LFF; HWHM; GCW; AM,BCP / Current TEC / TEC secondary,Review,Strong Anglican source authority but requires social-impact/holiness test.,social-impact caution; date harmonization,Pending,,
July,07-30,2,Silas,Companion of Paul,,Apostolic / Anglican-received,SEC,Provincial Anglican,Strong alternate,Biblically cleaner and attractive if Wilberforce is too reformer-adjacent or civic-moral in tone.,date/source verification,Pending,,
July,07-30,3,Peter Chrysologus,Bishop and Doctor,,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Usable,Strong theological Great Church option but lower source hierarchy than Wilberforce/Silas.,Great Church supplement,Pending,,
July,07-31,1,Ignatius of Loyola,Priest and Spiritual Writer,1556,Anglican-received Roman Catholic,BCP; LFF; HWHM; GCW; SEC; AM,BCP / Current TEC / Broad Anglican,Strong candidate,"Deep ascetical and devotional influence, broad Anglican reception, strong fit for theosis/prayer formation.",none,Pending,,
July,07-31,2,Germanus of Auxerre,Bishop,,Greater Church / Western / British Isles relevance,AM,Anglican martyrology / Great Church,Usable,"Significant for Britain, but secondary to Ignatius on this date.",source verification,Pending,,
